,features,importance_vals
20,grade_i,1.587409279346466
16,age,0.9083842517994344
17,post_meno,0.8818024519085884
21,grade_ii,0.8460653185844421
19,stage_i,0.5084688461571932
14,Z_15,0.4636660883575678
6,Z_7,0.4033138169720769
15,Z_16,0.2536498553305864
18,size,0.24535939012188465
9,Z_10,0.23894383407197892
5,Z_6,0.23379025389440358
11,Z_12,0.22032053125323728
1,Z_2,0.2029827893874608
4,Z_5,0.20140955517068504
7,Z_8,0.14514320439193398
13,Z_14,0.10027390546165407
2,Z_3,0.09788539058587048
12,Z_13,0.0927035546139814
10,Z_11,0.06962221088819205
0,Z_1,0.06779014486179222
8,Z_9,0.066883745448431
3,Z_4,0.05721392778446898
