,features,importance_vals
355,R-HSA-429947,0.12666091423481704
558,R-HSA-381753,0.11585446575656533
274,R-HSA-5693568,0.10835077523719519
763,R-HSA-72306,0.10153610350331292
582,R-HSA-111997,0.08937803029781208
5,R-HSA-8978868,0.08834116623780573
872,R-HSA-174154,0.08572323261760176
550,R-HSA-1296059,0.07671191364293918
871,R-HSA-174084,0.07179369582328946
429,R-HSA-9758941,0.07160300706513226
844,R-HSA-168638,0.06899451734032482
846,R-HSA-1483255,0.06882106563774869
817,R-HSA-983189,0.06581354616442696
459,R-HSA-9633012,0.061773621113970875
822,R-HSA-373755,0.05887533828441519
469,R-HSA-69190,0.05360078195109964
825,R-HSA-983170,0.05273488118487876
440,R-HSA-75955,0.049056623962242155
454,R-HSA-6794362,0.047827433752827345
789,R-HSA-75067,0.04709397202241235
33,R-HSA-397795,0.04504138968884945
328,R-HSA-6791312,0.044729009433285685
909,R-HSA-8874081,0.04074423690442927
350,R-HSA-198933,0.0399570347648114
773,R-HSA-8964043,0.03949598793522455
126,R-HSA-2682334,0.039239443098194896
158,R-HSA-5620920,0.03918620853975881
856,R-HSA-3000170,0.03780165533884428
532,R-HSA-4641262,0.03744099682662636
80,R-HSA-1655829,0.03644849374424666
905,R-HSA-163841,0.03560371353058144
418,R-HSA-381340,0.034782866537570956
782,R-HSA-901042,0.0338014697143808
132,R-HSA-8957275,0.033779233971145003
928,R-HSA-5663084,0.0331766034514294
439,R-HSA-674695,0.03179465652443469
157,R-HSA-5617833,0.031369623480713926
916,R-HSA-5668599,0.03125320182531141
223,R-HSA-1268020,0.03084943963389378
229,R-HSA-1222556,0.030037885236088187
321,R-HSA-749476,0.02942535704933107
497,R-HSA-5678895,0.029369803392328322
694,R-HSA-2142753,0.027546045636991038
202,R-HSA-69618,0.026602081601158716
545,R-HSA-2871809,0.02620052861981094
417,R-HSA-350054,0.025457088871626184
790,R-HSA-5205647,0.025357482006656936
780,R-HSA-5387390,0.025245005027391017
866,R-HSA-192105,0.02495107932249084
485,R-HSA-9687139,0.024941284359665587
462,R-HSA-110314,0.02469554402050562
907,R-HSA-3000157,0.02455455389805138
190,R-HSA-446193,0.023862305242801085
84,R-HSA-163685,0.02356176739325747
601,R-HSA-451927,0.023391994530829834
364,R-HSA-166658,0.021904138680547476
507,R-HSA-390471,0.021057723376434297
693,R-HSA-198725,0.020530509315431118
305,R-HSA-72312,0.01987196124275215
323,R-HSA-76061,0.01971104142256081
251,R-HSA-72163,0.019290281574503753
594,R-HSA-8853659,0.01869657428292612
788,R-HSA-6807505,0.017938119473401456
730,R-HSA-9029569,0.01790500936564058
713,R-HSA-167172,0.01767858221195638
875,R-HSA-445095,0.01759261509287171
154,R-HSA-425397,0.017114231341984122
316,R-HSA-6802949,0.017050920716137626
816,R-HSA-2132295,0.016289251148700713
878,R-HSA-211897,0.015188165422296151
881,R-HSA-379724,0.014814098832430319
39,R-HSA-5218921,0.014700678277295083
130,R-HSA-3928665,0.014665025460344623
581,R-HSA-111996,0.01445986537328281
367,R-HSA-977606,0.014373077770433156
893,R-HSA-5620971,0.014296881163027138
