,features,importance_vals
2393,A_23_P89249,0.04143646217562491
736,A_23_P9688,0.03650245839264244
2623,A_23_P21382,0.035239624729147184
3812,A_23_P94030,0.03294933026190847
1867,A_23_P211445,0.03157022125436924
2956,A_23_P51136,0.031219357484951617
2292,A_23_P211212,0.030754120143828913
3134,A_23_P16944,0.029953049326577455
3795,A_23_P73780,0.02925402447654051
2863,A_23_P207811,0.028603008186328226
654,A_23_P53866,0.026810749400174246
2173,A_23_P133068,0.026190962314140052
1124,A_23_P35534,0.025872529133339414
1109,A_23_P206920,0.02518337510060519
1535,A_23_P34433,0.02512948940275237
3807,A_23_P147388,0.024772164612077176
3207,A_23_P254271,0.02461763001512736
1189,A_23_P75989,0.02446598994662054
3779,A_23_P216188,0.02441936735995114
2507,A_23_P17998,0.024399324683472515
3778,A_23_P159920,0.024181824617553502
3391,A_23_P215461,0.023454880168428643
112,A_23_P163850,0.023163038338534534
541,A_23_P98350,0.022696510160458275
2435,A_23_P208737,0.02257741049514152
2614,A_23_P212307,0.021888095545582475
1413,A_23_P23438,0.02123916521017236
2610,A_23_P28906,0.02121012845702353
1340,A_23_P125451,0.020963596291840077
1590,A_23_P139547,0.02077420465735486
1569,A_23_P26173,0.020582357513485475
3597,A_23_P60610,0.020428060011472553
3224,A_23_P56188,0.020380917529109865
2362,A_23_P251945,0.02025305058763479
3811,A_23_P133656,0.0201085345284082
598,A_23_P200560,0.020030585546628572
4152,A_23_P19291,0.019976914427243173
1104,A_23_P51679,0.019907025136053563
2004,A_23_P5853,0.019187677812296897
3198,A_23_P6481,0.01879250584213878
2404,A_23_P137103,0.018739361346233635
1960,A_23_P250404,0.018586883490206672
2182,A_23_P208302,0.018092541680089197
3352,A_23_P169479,0.017234630633029154
797,A_23_P151426,0.016769494843902066
477,A_23_P21853,0.016602710993029176
1923,A_23_P17522,0.0165319422975881
976,A_23_P48835,0.016469353012507782
917,A_23_P1981,0.016453921191350675
174,A_23_P200728,0.016293665550183505
315,A_23_P104689,0.01614020033273846
1565,A_23_P45875,0.016126477128709668
926,A_23_P76529,0.01607243307400495
756,A_23_P322,0.016012416485973516
2771,A_23_P214059,0.01568448700651061
2295,A_23_P120899,0.015560828891102574
3883,A_23_P73589,0.015524405327159912
3025,A_23_P212475,0.015394811506848783
4142,A_23_P59005,0.015323244419705588
543,A_23_P76145,0.015276316264644265
3367,A_23_P167983,0.015151627708110026
338,A_23_P65110,0.015016243513673543
3837,A_23_P125107,0.014983215385145741
3371,A_23_P59069,0.014840214797659427
3732,A_23_P144916,0.01479621923645027
1006,A_23_P106505,0.01476793949608691
2720,A_23_P257895,0.014758344786823727
3744,A_23_P251795,0.014659838690859033
3205,A_23_P56736,0.014643901163362899
1687,A_23_P166297,0.014635087732021929
3119,A_23_P129786,0.01457615230588999
2649,A_23_P66608,0.014505790597759187
993,A_23_P86012,0.014324871541466564
798,A_23_P64617,0.01432034673227463
224,A_23_P103361,0.014258997993310913
3627,A_23_P8400,0.013986342264252017
867,A_23_P162866,0.013979590487142559
627,A_23_P15018,0.013945056329830549
352,A_23_P53370,0.013915798727812217
1145,A_23_P88589,0.013740093898959457
940,A_23_P104798,0.013574231817692635
1228,A_23_P11685,0.013521280672284775
3679,A_23_P156852,0.013455560868605972
3607,A_23_P45365,0.013193892669223715
308,A_23_P88731,0.013193744946620426
2350,A_23_P7528,0.01315703183732694
3009,A_23_P92842,0.012841317232814618
1933,A_23_P55990,0.012784067428510753
773,A_23_P23303,0.012731111787143163
673,A_23_P24997,0.012560259355814197
3535,A_23_P96478,0.012543514326680452
3206,A_23_P102109,0.012493328987329733
2618,A_23_P68851,0.012469747771392576
2450,A_23_P166459,0.012429463159060105
1331,A_23_P52793,0.012355942226713523
3636,A_23_P20980,0.012327614787500352
382,A_23_P117805,0.012316487916396
3794,A_23_P255038,0.012264266689307989
3602,A_23_P217643,0.012186070977186318
1132,A_23_P163087,0.012177924847928807
476,A_23_P14515,0.01214837152598193
2157,A_23_P122068,0.012090183179825544
2482,A_23_P209904,0.012056754769291729
1433,A_23_P76969,0.011917718799668364
3182,A_23_P92082,0.011881486792117358
1328,A_23_P3042,0.011781343669281342
581,A_23_P14915,0.011751227961794938
1139,A_23_P203891,0.01170661995129194
2527,A_23_P167227,0.011705365725792944
353,A_23_P127642,0.011701346657944214
1739,A_23_P112652,0.011690321446803865
1674,A_23_P208870,0.011598522985368618
178,A_23_P22926,0.011494613096219837
2433,A_23_P212696,0.011465120741631836
727,A_23_P250506,0.011457105527733802
1567,A_23_P14537,0.011439966250909492
2118,A_23_P44037,0.011412161648040637
3489,A_23_P19702,0.011389884008094668
3838,A_23_P30848,0.011385562439973
1494,A_23_P98282,0.01134364533732878
1329,A_23_P205236,0.01134108713187743
2850,A_23_P5983,0.011312326539627975
528,A_23_P104464,0.01125703688012436
2347,A_23_P79199,0.011166306661070848
668,A_23_P37718,0.011153674704255536
2621,A_23_P89780,0.011125159786024597
3854,A_23_P31866,0.011092260768637062
636,A_23_P117298,0.011086890255537583
974,A_23_P107369,0.011023244884272572
154,A_23_P140069,0.010979882676620036
2930,A_23_P144054,0.01097801558833453
268,A_23_P9883,0.010881902816563524
1044,A_23_P32444,0.010855152391595766
3429,A_23_P9744,0.010833557845908217
3660,A_23_P43049,0.010772628249433182
2638,A_23_P208493,0.010742882515478414
1967,A_23_P39076,0.01069314245483838
2506,A_23_P213944,0.010687337078852579
3609,A_23_P83818,0.010682933009811678
760,A_23_P160359,0.010638829597010045
1249,A_23_P64689,0.010586140352452277
1057,A_23_P137865,0.010546753619564697
2861,A_23_P57961,0.010522249313653446
1983,A_23_P218774,0.010491932777513284
978,A_23_P34788,0.01045342996421823
3473,A_23_P94736,0.010438645682297647
3039,A_23_P100788,0.010421988453599625
542,A_23_P162037,0.010410317512869369
3520,A_23_P217564,0.010398370959301247
1821,A_23_P26994,0.010396159635856748
3187,A_23_P80336,0.010372197950491682
2565,A_23_P7560,0.010323528917797375
1123,A_23_P65278,0.010293933560606093
1520,A_23_P24755,0.010284403487748933
2564,A_23_P101783,0.010233676309580915
1305,A_23_P75889,0.01016326165641658
3719,A_23_P82449,0.009993886980228127
3839,A_23_P145264,0.009991404501633952
1008,A_23_P63980,0.009893599727802212
3426,A_23_P252491,0.009860365135828032
1472,A_23_P140450,0.009844739712716545
2176,A_23_P109794,0.009802719755680301
2962,A_23_P18196,0.00980061150403344
458,A_23_P151690,0.009796770273242146
1291,A_23_P48358,0.00976517922943458
1128,A_23_P138194,0.009739084909815574
3374,A_23_P93282,0.00970301443056087
2473,A_23_P250671,0.009672944086487405
4017,A_23_P252106,0.009590172211173921
95,A_23_P34676,0.009581065854290501
3003,A_23_P211550,0.009557139350799843
493,A_23_P138706,0.009556287318737304
294,A_23_P150807,0.009453019006214163
1631,A_23_P34345,0.00942029528087005
2665,A_23_P56170,0.009374598978320136
2628,A_23_P50775,0.009344371114857496
1709,A_23_P208706,0.009334806459347646
3852,A_23_P72187,0.009301309629809112
1314,A_23_P206585,0.009278613987553398
1237,A_23_P115919,0.009184918823302723
3943,A_23_P258340,0.009171848154219333
1959,A_23_P121222,0.009167991824215278
2641,A_23_P164912,0.009137087184353732
3542,A_23_P216108,0.0090731154857167
1693,A_23_P77818,0.009032224003458395
981,A_23_P2873,0.008995567717356608
3692,A_23_P19590,0.008994661968099536
1740,A_23_P110304,0.008983514122664928
1761,A_23_P91891,0.0089682345779147
2200,A_23_P9903,0.008964548238436692
26,A_23_P64193,0.008949539110762999
326,A_23_P33022,0.008943554952275008
2459,A_23_P169887,0.008874057970679132
