,features,importance_vals
4,Z_5,0.8540235753171146
1,Z_2,0.41187017628302175
5,Z_6,0.40077264367913207
2,Z_3,0.38934482789287966
14,Z_15,0.38674691977600256
11,Z_12,0.34712823531590403
15,Z_16,0.3235222830126683
3,Z_4,0.3078216275316663
17,icd10_c56,0.2893157787621021
10,Z_11,0.22522906872133414
8,Z_9,0.18961137693355948
13,Z_14,0.17310813925772284
9,Z_10,0.12997408580655853
16,age,0.12092715324931001
7,Z_8,0.11012030407631149
18,stage_iii,0.10669777269164721
12,Z_13,0.10024621478126695
6,Z_7,0.09763262559038897
0,Z_1,0.06082302172047396
19,treatment,0.0446226991713047
