,features,importance_vals
5084,ENSG00000143947,0.03352726913290098
6309,ENSG00000170315,0.025904541163860508
1186,ENSG00000100030,0.0217572245397605
2387,ENSG00000115233,0.021505041932687163
2945,ENSG00000123737,0.020850535854697226
6839,ENSG00000177885,0.018993076138819256
5314,ENSG00000150991,0.016906193004009158
2666,ENSG00000118972,0.015817483991850168
8304,ENSG00000256950,0.015635632207461943
1523,ENSG00000103275,0.01526528955437243
6958,ENSG00000180573,0.015038153944866886
7466,ENSG00000188486,0.014960389875341207
550,ENSG00000068078,0.014948092014916863
5467,ENSG00000156427,0.013493989363390331
5147,ENSG00000145675,0.013235509650257882
2275,ENSG00000113578,0.012722263726755046
7632,ENSG00000197170,0.012444907950703054
3973,ENSG00000158373,0.012258471682434902
5747,ENSG00000163636,0.0121398876629731
4947,ENSG00000141367,0.01193690369060884
6987,ENSG00000181222,0.011935756564101514
4359,ENSG00000130713,0.011756943799749326
4835,ENSG00000138741,0.011663709375231217
1482,ENSG00000102900,0.011622711691112878
6308,ENSG00000170312,0.011601160245481879
8536,hsa.miR.941,0.011505354228817547
1468,ENSG00000102678,0.011453696124954149
8145,ENSG00000233822,0.011422879493329674
8235,ENSG00000243955,0.011406842044865091
4270,ENSG00000128309,0.011362154175488588
4151,ENSG00000164032,0.011349267434949677
40,ENSG00000004897,0.011145226716568384
1920,ENSG00000108671,0.010994807626411784
6542,ENSG00000173039,0.010814770233506958
3017,ENSG00000124635,0.010758076828399984
5978,ENSG00000166848,0.010440778092985662
6093,ENSG00000168036,0.010372722791119789
1297,ENSG00000100652,0.010105393221601843
7229,ENSG00000185049,0.00986332621735831
1411,ENSG00000101843,0.009753633832830625
5777,ENSG00000163932,0.009676817173991973
2498,ENSG00000116478,0.009657926970976404
3251,ENSG00000130177,0.009652604386307455
415,ENSG00000058404,0.009634580424365899
2839,ENSG00000121879,0.009630532413211768
1700,ENSG00000105647,0.00957988781350044
2269,ENSG00000113522,0.00952709052071441
8175,ENSG00000240065,0.009482072997100962
4667,ENSG00000136371,0.00940148983305941
3975,ENSG00000158406,0.009127127017078844
1838,ENSG00000107371,0.009099731225433061
2468,ENSG00000116030,0.008999162368369677
4402,ENSG00000131467,0.008922604409356912
1624,ENSG00000104884,0.008687242744660277
6088,ENSG00000168002,0.008531006204430014
3072,ENSG00000125651,0.0084728698420804
6313,ENSG00000170345,0.008430631883675233
1225,ENSG00000100258,0.00836684126406908
6106,ENSG00000168214,0.00833584642847806
2408,ENSG00000115415,0.008243329599887753
4101,ENSG00000163041,0.008222655497957022
1491,ENSG00000102978,0.008142150964764975
3431,ENSG00000136238,0.008136253229046512
2888,ENSG00000122779,0.008098965404982058
3577,ENSG00000140945,0.00803404270275981
328,ENSG00000047315,0.008009489907029396
8008,ENSG00000213246,0.007994694315129891
4522,ENSG00000134057,0.007959321048110724
8059,ENSG00000214357,0.007916216523153708
7603,ENSG00000196866,0.007825314167712349
3030,ENSG00000124789,0.0078084335235568385
4064,ENSG00000162104,0.0077536175197262
2014,ENSG00000110063,0.007744030528313791
5764,ENSG00000163817,0.007606430111142496
6823,ENSG00000177606,0.007485656216158531
5948,ENSG00000166501,0.007479926514982556
2407,ENSG00000115414,0.007435059885392547
8231,ENSG00000243708,0.007399853621609509
1277,ENSG00000100519,0.007361488673874798
5135,ENSG00000145386,0.00734037032428508
5759,ENSG00000163754,0.007328395694882298
3137,ENSG00000126561,0.007309145455171044
4714,ENSG00000136937,0.0072758668742608276
790,ENSG00000078579,0.007268340928324808
3751,ENSG00000147669,0.007189293402673987
1618,ENSG00000104833,0.007188833939532439
2925,ENSG00000123374,0.007165760843781755
1101,ENSG00000094880,0.007086589771400516
2057,ENSG00000110801,0.0070086935709696265
444,ENSG00000062822,0.006989517088247036
7138,ENSG00000183785,0.006957643929733119
1601,ENSG00000104687,0.006931247806642204
7875,ENSG00000204264,0.006911806405696552
8102,ENSG00000223496,0.006877583796934535
148,ENSG00000010810,0.006868701878314217
8379,hsa.miR.134,0.006807492501684465
6637,ENSG00000174371,0.006790008045876069
6906,ENSG00000179295,0.006687712949739458
4729,ENSG00000137204,0.006676442115955676
2944,ENSG00000123684,0.006632514042818608
1492,ENSG00000102981,0.006567931402969407
4719,ENSG00000137076,0.006532951795573657
7218,ENSG00000184956,0.006517654419682609
3883,ENSG00000154262,0.0064633501053322105
2334,ENSG00000114503,0.006441546092779997
1932,ENSG00000108786,0.006420333914381141
599,ENSG00000070388,0.006398756700703719
4303,ENSG00000129084,0.006367901339641927
5832,ENSG00000164587,0.0063474637247963985
8000,ENSG00000213024,0.0063414896314498035
6618,ENSG00000174021,0.006337367364903912
3670,ENSG00000144231,0.006273628738320743
1129,ENSG00000096384,0.006236587656894698
4031,ENSG00000160691,0.006142367996896307
5595,ENSG00000160867,0.006134719451074489
1136,ENSG00000096968,0.006127920504271364
1894,ENSG00000108424,0.006102190813786971
1535,ENSG00000103479,0.006087343486918447
1320,ENSG00000100911,0.0060719502236073215
2503,ENSG00000116560,0.006025802834968393
5264,ENSG00000149273,0.0060214147126923
5138,ENSG00000145425,0.006021087382881281
4825,ENSG00000138617,0.005993518132405977
4905,ENSG00000140285,0.005978433837663033
484,ENSG00000065361,0.005960826140047478
1318,ENSG00000100902,0.005927951099389854
6109,ENSG00000168256,0.0059177863450410465
2392,ENSG00000115268,0.005907409553765319
5907,ENSG00000165646,0.005899759203748545
2580,ENSG00000117461,0.0058924885796538245
7637,ENSG00000197238,0.005889422090937539
2023,ENSG00000110200,0.0058681417838670315
7255,ENSG00000185359,0.005838596628018422
4665,ENSG00000136279,0.0058086164764972635
1429,ENSG00000101986,0.00577855215233285
4980,ENSG00000141968,0.005771394308734064
2128,ENSG00000111684,0.00576810262282379
3374,ENSG00000134698,0.005755790558335624
7155,ENSG00000184009,0.005728061136687756
1991,ENSG00000109674,0.0057207587034402724
127,ENSG00000008988,0.0057111271472725395
8497,hsa.miR.555,0.0057105802232399585
2946,ENSG00000123739,0.0057049905595098005
8378,hsa.miR.133a,0.005697340351374199
3599,ENSG00000141698,0.00566801188106183
3792,ENSG00000149806,0.005664206848208172
7708,ENSG00000197943,0.005656048432380582
4235,ENSG00000166130,0.00565351139800138
8493,hsa.miR.548aj.3p,0.005617145677873244
6175,ENSG00000168884,0.005580344051122665
3489,ENSG00000137845,0.005536234481648232
3204,ENSG00000127922,0.005518100453385463
8534,hsa.miR.93.5p,0.0055142518516125465
652,ENSG00000072401,0.0055084319824042416
3865,ENSG00000153201,0.0055041836118713645
4105,ENSG00000163161,0.005480076885335924
269,ENSG00000035403,0.005452477305273836
5551,ENSG00000159445,0.005444537651904587
8308,ENSG00000257524,0.005421272669142733
7254,ENSG00000185345,0.005417275192788414
8078,ENSG00000215375,0.0054125530319045845
4620,ENSG00000135624,0.005383980668527025
7575,ENSG00000196591,0.005251424343350663
7699,ENSG00000197885,0.005246735628073414
943,ENSG00000087191,0.005227971936255927
4602,ENSG00000135355,0.005204228998627514
2009,ENSG00000110042,0.005198603545098498
275,ENSG00000035928,0.005192204704508185
2321,ENSG00000114302,0.0051796784914283
8508,hsa.miR.582.5p,0.0051713262005553895
4845,ENSG00000138798,0.00517123830698741
2259,ENSG00000113368,0.0051582798264765495
3602,ENSG00000141985,0.005156761042114036
7172,ENSG00000184260,0.005146403432809166
7257,ENSG00000185379,0.0051354204362723975
5930,ENSG00000166225,0.0051171736670463965
1892,ENSG00000108405,0.005103658962373932
5916,ENSG00000165916,0.0051013348577422825
5128,ENSG00000145216,0.005097387801409544
5804,ENSG00000164109,0.005084097670624033
1255,ENSG00000100393,0.005074489427837155
420,ENSG00000058804,0.005069788722418404
1796,ENSG00000106628,0.005057920843440419
6154,ENSG00000168610,0.005040832054025183
2872,ENSG00000122641,0.005039784277808697
5151,ENSG00000145736,0.0050394490075026015
4965,ENSG00000141564,0.005032514380339611
5449,ENSG00000155850,0.005015817985258764
1976,ENSG00000109458,0.00499410304085662
571,ENSG00000069248,0.004960244240161653
8394,hsa.miR.15b.5p,0.004954975896786588
6448,ENSG00000171858,0.004948398015403655
5349,ENSG00000151883,0.004947704558435362
7203,ENSG00000184678,0.004936898787976437
6842,ENSG00000177954,0.004934592752397294
1742,ENSG00000105976,0.004928271869236293
1967,ENSG00000109320,0.0049077277324007205
327,ENSG00000047249,0.00490354147235242
7238,ENSG00000185130,0.0048906036929110995
7703,ENSG00000197903,0.004878068549563371
8429,hsa.miR.23b.3p,0.004876345521188341
8359,hsa.miR.125a.5p,0.004870307372766547
8482,hsa.miR.513b,0.004870058510277886
7250,ENSG00000185313,0.004860285867471248
6944,ENSG00000180210,0.0048601387223849695
8356,hsa.miR.1243,0.004843647055289087
2747,ENSG00000120251,0.004826496205835914
2342,ENSG00000114738,0.0048227095959494665
3158,ENSG00000126883,0.004816494315067151
1777,ENSG00000106367,0.004788206913508475
8479,hsa.miR.501.3p,0.004786335544971128
958,ENSG00000087510,0.004780661963134965
7539,ENSG00000196313,0.004773843565878148
2081,ENSG00000111186,0.0047684044984634966
7663,ENSG00000197530,0.004762246062697765
4595,ENSG00000135124,0.00475175682210344
7566,ENSG00000196510,0.004749633741448633
2313,ENSG00000114126,0.00472260346771994
1201,ENSG00000100142,0.0047002766834339125
6520,ENSG00000172757,0.004699747986160218
1102,ENSG00000094914,0.004684985410616112
6509,ENSG00000172551,0.004684779726085253
5726,ENSG00000163513,0.004678363229080181
8472,hsa.miR.454.3p,0.004674944273817042
4233,ENSG00000166126,0.004671741296382
8364,hsa.miR.1271.5p,0.004670308498316444
8391,hsa.miR.1539,0.00465046238192978
8100,ENSG00000222028,0.00464463100846236
6784,ENSG00000176920,0.004640545919149493
367,ENSG00000051382,0.004636712080294577
1603,ENSG00000104695,0.004625438595636903
2236,ENSG00000113070,0.004620557113472993
4025,ENSG00000160408,0.004614712686452549
6296,ENSG00000170142,0.004605653891727949
2454,ENSG00000115904,0.004603832159530915
5823,ENSG00000164411,0.00459133449573225
6320,ENSG00000170425,0.004588948861540606
6517,ENSG00000172728,0.004583494430213856
7977,ENSG00000206503,0.004582981968511982
6887,ENSG00000178982,0.004562058015289949
462,ENSG00000064393,0.004557884363263535
6089,ENSG00000168003,0.004551446179539198
6451,ENSG00000171863,0.004547185923972089
8480,hsa.miR.505.3p,0.0045392535180629546
8526,hsa.miR.720,0.004523860451899964
6769,ENSG00000176485,0.0045203366406591765
109,ENSG00000008018,0.0045174617320299145
6345,ENSG00000170734,0.004509656830244542
6321,ENSG00000170426,0.004505584325913029
6675,ENSG00000174951,0.004503564476423586
649,ENSG00000072310,0.00449352808839952
2098,ENSG00000111358,0.004488713189008801
2590,ENSG00000117560,0.004488335588151434
6694,ENSG00000175197,0.004476142377552605
4355,ENSG00000130649,0.004461513684267023
4523,ENSG00000134058,0.004447237724283089
5175,ENSG00000146648,0.004444911382082258
8416,hsa.miR.205.5p,0.004437790067458991
1889,ENSG00000108384,0.004436209868678513
6948,ENSG00000180370,0.004431201203260571
2272,ENSG00000113558,0.0044201609813171675
476,ENSG00000065135,0.004419996894406116
1790,ENSG00000106588,0.004419658132246695
250,ENSG00000030066,0.0044181835449611144
2132,ENSG00000111713,0.004417210041234891
1132,ENSG00000096433,0.004415041956963251
8522,hsa.miR.668,0.004401470558271588
5818,ENSG00000164342,0.004401100322532632
7695,ENSG00000197837,0.004400594805095655
8447,hsa.miR.339.3p,0.004389360865267615
6393,ENSG00000171234,0.004383949647308327
8034,ENSG00000213741,0.004382048891420709
7161,ENSG00000184113,0.004355386501265457
