,features,importance_vals
489,R-HSA-6781823,0.02803168787310521
825,R-HSA-451927,0.02601686348207295
406,R-HSA-2172127,0.021180501750980813
1004,R-HSA-169911,0.02050897127846838
7,R-HSA-1483257,0.018931495708723864
1261,R-HSA-175474,0.01891457789267103
1073,R-HSA-157858,0.018465946506087978
1237,R-HSA-197264,0.01819096243319412
755,R-HSA-9670439,0.01798315521640082
1063,R-HSA-5620924,0.017950857034884395
1055,R-HSA-936964,0.017537953138041
11,R-HSA-913531,0.01719576948635222
1056,R-HSA-5368287,0.016974832916942736
170,R-HSA-201681,0.01689983520967265
1077,R-HSA-445095,0.01687382658710703
1232,R-HSA-5368286,0.016870635484034818
187,R-HSA-5633007,0.016861413807297745
308,R-HSA-9013423,0.016677667569213857
337,R-HSA-72172,0.016331220412394033
943,R-HSA-179419,0.015921431015400837
1256,R-HSA-549132,0.015709233388770373
440,R-HSA-9010553,0.015451105016594132
150,R-HSA-5617833,0.01532220166894452
959,R-HSA-69563,0.015125541827486207
1173,R-HSA-9651496,0.015113392208392421
18,R-HSA-8957322,0.014875770732760429
431,R-HSA-198933,0.014751584406136923
996,R-HSA-73980,0.014746534344158135
716,R-HSA-174113,0.014265345553091417
892,R-HSA-1834941,0.01425914594049876
79,R-HSA-6802957,0.014164192964866136
1005,R-HSA-9013418,0.013881270424462855
703,R-HSA-5632684,0.013804406059595447
428,R-HSA-202427,0.013729103840887547
1204,R-HSA-72706,0.013600761160099258
515,R-HSA-9013694,0.013386870136794944
1195,R-HSA-4419969,0.013236160925589501
916,R-HSA-168325,0.013180986149624612
749,R-HSA-375165,0.012877050203921195
243,R-HSA-382556,0.012862874928396195
1252,R-HSA-156902,0.012716063385596499
52,R-HSA-196741,0.012656047443548838
352,R-HSA-9614657,0.012644214470249911
818,R-HSA-5654710,0.012632753273161748
933,R-HSA-9758274,0.012577011327569684
643,R-HSA-9024446,0.012565090491746863
992,R-HSA-203927,0.01247468173969537
51,R-HSA-1614635,0.012381645819793145
1171,R-HSA-140877,0.012287334740782778
386,R-HSA-9701192,0.012232971109551728
894,R-HSA-2024096,0.012161137001627745
422,R-HSA-1461973,0.012151739400966715
657,R-HSA-2129379,0.012067605221333603
429,R-HSA-389948,0.012041261204285548
411,R-HSA-5260271,0.011937868843475977
142,R-HSA-948021,0.011895585254145165
1037,R-HSA-1638074,0.011877666347815344
1092,R-HSA-111931,0.011585405329242349
398,R-HSA-1236974,0.011574503523297608
663,R-HSA-532668,0.01152828447908784
162,R-HSA-1227986,0.0114970036665909
269,R-HSA-390918,0.011448561187232068
1083,R-HSA-9609736,0.011417707085881072
412,R-HSA-5602358,0.011260221898555755
509,R-HSA-3899300,0.011253784752140443
41,R-HSA-6791226,0.01124673126420627
963,R-HSA-9615017,0.01117211787592775
473,R-HSA-1632852,0.011039859634668877
454,R-HSA-201556,0.011024797761153119
1200,R-HSA-72649,0.01101937514031306
267,R-HSA-5576891,0.010999158278961356
584,R-HSA-9678108,0.010989398194942624
1112,R-HSA-174084,0.01093727884387287
90,R-HSA-5663213,0.010927257391934593
636,R-HSA-156711,0.010921337740728631
13,R-HSA-74259,0.010855409530146668
0,R-HSA-3229121,0.01082928126755481
1150,R-HSA-9619483,0.010795946209691465
856,R-HSA-9020591,0.010780332056068194
475,R-HSA-5689880,0.01076193517073989
879,R-HSA-8943724,0.01073200290168946
639,R-HSA-2173796,0.010707474391286572
1202,R-HSA-72695,0.010684972566862901
719,R-HSA-453276,0.010514922257668029
329,R-HSA-186763,0.010450044899092367
1189,R-HSA-204174,0.010416346746690881
233,R-HSA-4839726,0.010379566250291343
94,R-HSA-5693565,0.010289238942399
733,R-HSA-1660514,0.010265068290755153
305,R-HSA-9675126,0.010242990229986997
1174,R-HSA-9671793,0.010205682330221559
151,R-HSA-5620920,0.010139985031370695
553,R-HSA-1433559,0.01007853347012618
286,R-HSA-162906,0.010075008219185595
692,R-HSA-448424,0.010001197655219585
904,R-HSA-6799198,0.00999705724340553
176,R-HSA-3769402,0.009903971947884808
1218,R-HSA-8935690,0.009885681373998523
1226,R-HSA-983189,0.009862085854789863
12,R-HSA-15869,0.009826723509468139
492,R-HSA-1368082,0.009804019464293863
287,R-HSA-162909,0.00973380880896002
774,R-HSA-977443,0.009655542757051687
294,R-HSA-2173795,0.009584973240271211
516,R-HSA-9013695,0.009568752883933485
409,R-HSA-2871809,0.00953004781040363
708,R-HSA-446652,0.009520289503658812
870,R-HSA-400685,0.009460726848919876
1145,R-HSA-9694676,0.00945232119023179
77,R-HSA-6802952,0.009412074042484165
9,R-HSA-877300,0.009403180039225845
334,R-HSA-8848021,0.009397255097671102
204,R-HSA-9007101,0.00938642308465205
58,R-HSA-70326,0.0093665854515469
782,R-HSA-2980736,0.00935909232357517
713,R-HSA-9020702,0.00930188632531402
808,R-HSA-5610783,0.009253551074652932
525,R-HSA-9818027,0.009212326848258574
1099,R-HSA-379724,0.009173022934313243
588,R-HSA-9013026,0.009167924232315272
362,R-HSA-381426,0.009154974960256367
745,R-HSA-114604,0.009073174533356602
935,R-HSA-9762114,0.009045545384287835
42,R-HSA-72312,0.009044095811744531
311,R-HSA-512988,0.009041877884495382
545,R-HSA-168643,0.009036338212899864
806,R-HSA-5610780,0.00895197926632439
1060,R-HSA-3238698,0.008932788452754418
1236,R-HSA-3295583,0.008931964552418018
270,R-HSA-9603798,0.008925698312426296
209,R-HSA-9694516,0.008874790804596463
241,R-HSA-5250941,0.008861540752695874
656,R-HSA-1566948,0.008850580539243917
491,R-HSA-1234174,0.008822010030659537
927,R-HSA-4085377,0.008791709912960263
1054,R-HSA-1592389,0.008775201658863807
1183,R-HSA-1234176,0.008746346388943494
494,R-HSA-168928,0.0086806869347735
619,R-HSA-5656169,0.008652942519984209
796,R-HSA-72764,0.008617594085808377
1121,R-HSA-190242,0.008595531567213282
761,R-HSA-112040,0.008544290075466658
1194,R-HSA-180585,0.00850869573187083
10,R-HSA-909733,0.00850498202489689
25,R-HSA-1989781,0.008496094914153218
539,R-HSA-167243,0.00848755973080794
432,R-HSA-5621480,0.008475933459703811
747,R-HSA-373752,0.008472643482188383
949,R-HSA-452723,0.008472529473995868
534,R-HSA-167169,0.008459530100420427
293,R-HSA-2173793,0.008446146718536813
368,R-HSA-5688426,0.00843001811299473
1233,R-HSA-5419276,0.008419178643574316
1067,R-HSA-1482839,0.008411645807791501
23,R-HSA-9609507,0.008381303696660325
124,R-HSA-1474244,0.008349945357379814
1080,R-HSA-3000171,0.008340909615314255
290,R-HSA-9635486,0.008321546621543045
333,R-HSA-76009,0.00829305786464829
434,R-HSA-5357905,0.008264102092167984
178,R-HSA-389356,0.008235488220816479
1221,R-HSA-2029485,0.008227080913881461
1115,R-HSA-174184,0.008212425593471077
