,features,importance_vals
5144,ENSG00000145592,0.02080417040269822
5008,ENSG00000142676,0.01627628455365387
5138,ENSG00000145425,0.015678605035645887
2329,ENSG00000114391,0.015444118886565168
6448,ENSG00000171858,0.015214916142940637
419,ENSG00000058729,0.01509662593404452
5471,ENSG00000156482,0.015040137236549829
5084,ENSG00000143947,0.014722518164489884
5240,ENSG00000148688,0.013632580420623224
2048,ENSG00000110700,0.0134795588227765
3508,ENSG00000138442,0.013132025317948623
6842,ENSG00000177954,0.013047596300020814
7,ENSG00000001497,0.012928155223683764
8133,ENSG00000231500,0.011816541472217067
620,ENSG00000071082,0.011746622707384328
4550,ENSG00000134419,0.011463000497315079
5264,ENSG00000149273,0.011435834163179
996,ENSG00000089157,0.011409595729977203
4938,ENSG00000140988,0.011082327815044361
5899,ENSG00000165502,0.010921571914028998
127,ENSG00000008988,0.010611796298083695
1237,ENSG00000100316,0.010591560557077172
3792,ENSG00000149806,0.010441739903762936
7133,ENSG00000183751,0.01036656790941682
2392,ENSG00000115268,0.010290518557887178
1884,ENSG00000108298,0.009908461658051237
8034,ENSG00000213741,0.009830399953837816
5017,ENSG00000142937,0.009770141038461588
4339,ENSG00000130255,0.00975441725749988
7689,ENSG00000197756,0.009365133035074299
7081,ENSG00000182899,0.008674779982296361
1651,ENSG00000105193,0.008577705535086959
4998,ENSG00000142534,0.008498984970113572
6822,ENSG00000177600,0.008388158776748847
8194,ENSG00000241343,0.008079519864016524
1699,ENSG00000105640,0.008072315875081889
6058,ENSG00000167721,0.007882763999320256
4723,ENSG00000137154,0.00784365787258139
447,ENSG00000063177,0.007735383868869879
8195,ENSG00000241370,0.007539562263991684
6659,ENSG00000174748,0.007480036222599059
3580,ENSG00000141076,0.007436939120816532
7347,ENSG00000186468,0.0073932902344192065
7233,ENSG00000185088,0.0072898114779187985
8121,ENSG00000229117,0.007239536148699699
764,ENSG00000077348,0.007104343881170886
6031,ENSG00000167526,0.007080264779021187
4359,ENSG00000130713,0.007034437531547155
4766,ENSG00000137818,0.007014536725015811
5627,ENSG00000161970,0.006885749813712512
5204,ENSG00000147604,0.006505127046451283
5751,ENSG00000163684,0.006439856252654863
8043,ENSG00000213923,0.00635228944690122
7219,ENSG00000184967,0.006332068872870878
7744,ENSG00000198242,0.006310345905997868
5112,ENSG00000144713,0.006248412897305874
8332,ENSG00000265681,0.006072423199141971
6091,ENSG00000168028,0.006043081156531116
7071,ENSG00000182774,0.006013925705337897
2596,ENSG00000117597,0.005996027492801659
5943,ENSG00000166441,0.005911638631854051
5884,ENSG00000165271,0.005876928238164206
2347,ENSG00000114767,0.005634777199399347
3407,ENSG00000135521,0.005620380024144348
4134,ENSG00000163811,0.005567706076059646
4999,ENSG00000142541,0.00550768284847436
2743,ENSG00000120158,0.005406737157803339
2405,ENSG00000115368,0.005359581625574113
4708,ENSG00000136891,0.005311361430737331
4403,ENSG00000131469,0.005275655705008831
8116,ENSG00000227057,0.005267393599206116
283,ENSG00000037241,0.005176477820108024
2486,ENSG00000116251,0.005044289417370843
6451,ENSG00000171863,0.005013546809156348
627,ENSG00000071462,0.00480665896920982
3935,ENSG00000156697,0.00478223722908903
2698,ENSG00000119616,0.00475973543652799
5897,ENSG00000165496,0.004739147263171617
2860,ENSG00000122406,0.004653868423823345
2846,ENSG00000122026,0.004563241852641416
1912,ENSG00000108592,0.004529448545387519
1917,ENSG00000108651,0.004454960751172621
729,ENSG00000075914,0.004440542287678303
2945,ENSG00000123737,0.004408694629205456
1185,ENSG00000100029,0.004277913469316748
3015,ENSG00000124614,0.004194615305459592
7798,ENSG00000198755,0.004171992943156511
2773,ENSG00000120699,0.004167343980225269
5775,ENSG00000163923,0.004051348448653395
949,ENSG00000087269,0.0040408339016721586
7718,ENSG00000198034,0.004033437762700487
3811,ENSG00000150990,0.003991389930827912
1980,ENSG00000109475,0.003968107721690709
7636,ENSG00000197223,0.003933839160648252
2571,ENSG00000117395,0.0038943663782750565
2370,ENSG00000115053,0.0038772032678631757
6881,ENSG00000178896,0.003809536382323131
1380,ENSG00000101361,0.0037760840117698536
2626,ENSG00000118181,0.0037429522790868456
4195,ENSG00000164934,0.003645449736700357
1881,ENSG00000108107,0.003549602208659053
983,ENSG00000088930,0.0035012502756217147
3075,ENSG00000125691,0.0034996547309371333
878,ENSG00000083845,0.0034608665306829303
2781,ENSG00000120800,0.003448861916816289
3594,ENSG00000141551,0.0032712274865843937
3383,ENSG00000134987,0.0032277982206020774
2113,ENSG00000111615,0.003226243032925898
480,ENSG00000065268,0.0031825310698574564
6397,ENSG00000171311,0.003101614609962174
3029,ENSG00000124787,0.0030845278638783687
3412,ENSG00000135698,0.0030838421667795045
6524,ENSG00000172809,0.0030432422206407256
4221,ENSG00000165733,0.0028760576805022236
