,features,importance_vals
276,R-HSA-163560,0.02496155215892941
425,R-HSA-3000178,0.017046683100343216
482,R-HSA-5627123,0.015566385524434736
0,R-HSA-1989781,0.014390524304762948
38,R-HSA-5693616,0.014192837997106834
3,R-HSA-418555,0.014151949793449603
378,R-HSA-5655253,0.013566887985798531
490,R-HSA-5656169,0.013495095135976954
400,R-HSA-201722,0.013435312358778902
285,R-HSA-5365859,0.013173429895396112
566,R-HSA-428540,0.012785646965767228
5,R-HSA-2565942,0.012609942790586501
91,R-HSA-420029,0.012570658142212778
575,R-HSA-1251985,0.012564949104562401
31,R-HSA-5578775,0.01251758474532835
4,R-HSA-1442490,0.01240082598873414
294,R-HSA-174184,0.01208783291389409
516,R-HSA-69205,0.01196714696721756
60,R-HSA-1236382,0.011784280091524124
301,R-HSA-445095,0.011697106880601495
303,R-HSA-445355,0.011324285774535384
116,R-HSA-392170,0.011063348860770929
39,R-HSA-6783310,0.010971978874877095
408,R-HSA-1221632,0.010883362723398023
450,R-HSA-4615885,0.010837243886780925
93,R-HSA-416476,0.010779591955943033
334,R-HSA-140837,0.0107678356723045
305,R-HSA-2559580,0.010723895851115231
306,R-HSA-2559585,0.010575567643609247
414,R-HSA-418457,0.010532976399554172
105,R-HSA-389513,0.010424721316085198
329,R-HSA-2022870,0.01037727835937403
226,R-HSA-2122947,0.010369932099420111
90,R-HSA-2173791,0.010191216150124091
352,R-HSA-3000171,0.010135109093116625
80,R-HSA-2682334,0.010031621589223504
52,R-HSA-380108,0.010017460158269386
215,R-HSA-983189,0.009895797884018976
134,R-HSA-452723,0.00976798140516621
319,R-HSA-1650814,0.009670395399516564
135,R-HSA-975634,0.009608994795416947
245,R-HSA-201451,0.00959532662469428
453,R-HSA-392451,0.009359585555648664
458,R-HSA-432142,0.00935687060096825
484,R-HSA-5625900,0.009353274624445476
248,R-HSA-2022854,0.009222123503859621
122,R-HSA-5632684,0.009159510178724304
568,R-HSA-5576886,0.009120006817975082
218,R-HSA-380972,0.009037691759767768
62,R-HSA-182971,0.008981733823566174
151,R-HSA-181429,0.008976827957176282
247,R-HSA-3769402,0.00885621021676343
34,R-HSA-1912420,0.008811503367323894
351,R-HSA-196757,0.00871434477798175
108,R-HSA-399954,0.00871413688382745
115,R-HSA-202040,0.008701482972392115
68,R-HSA-390471,0.008692040078894934
298,R-HSA-176412,0.008609933246552827
59,R-HSA-611105,0.008584792073816062
421,R-HSA-933541,0.008536570786764059
150,R-HSA-3214841,0.008479666431085206
166,R-HSA-6784531,0.008398719570832327
353,R-HSA-4641258,0.008393355093903664
534,R-HSA-5218920,0.00836047979828436
318,R-HSA-877300,0.008318322105333209
144,R-HSA-3108214,0.008285939600027633
136,R-HSA-4419969,0.008242755873216084
541,R-HSA-392851,0.008240278615230636
19,R-HSA-382556,0.008204597428557463
504,R-HSA-381771,0.00818044070736505
343,R-HSA-982772,0.008122168463887646
29,R-HSA-983712,0.008102974343055394
493,R-HSA-68962,0.008100290498732647
448,R-HSA-3301854,0.00808835479641857
506,R-HSA-186763,0.008026577461278066
313,R-HSA-418990,0.008026409800513647
88,R-HSA-202733,0.008019691464032802
50,R-HSA-5693579,0.008001867233979283
331,R-HSA-3560801,0.007998116234084592
290,R-HSA-174048,0.007989248467492872
94,R-HSA-456926,0.007883583272778195
519,R-HSA-390522,0.007762465960695408
101,R-HSA-2730905,0.007749584420234896
262,R-HSA-975956,0.007748657750998973
348,R-HSA-1461973,0.007612044592679013
113,R-HSA-416482,0.007581775775979622
230,R-HSA-400253,0.007503502883337205
433,R-HSA-1592389,0.007463645740499487
