,features,importance_vals
266,ENSG00000103197,0.01965622286457801
2655,ENSG00000240065,0.015858521177924557
2731,hsa.mir.1254.2,0.01498540704807965
2730,hsa.mir.1254.1,0.014265394310023112
3192,hsa.mir.767,0.013638985799916554
2698,ENSG00000278828,0.013468155347363791
2838,hsa.mir.3130.1,0.013423786758503411
2708,hsa.mir.105.1,0.013195889320631976
925,ENSG00000163918,0.012901371052430477
47,ENSG00000025039,0.012812330056185602
3117,hsa.mir.6511b.1,0.01233860326152353
2709,hsa.mir.105.2,0.012266941860871157
3126,hsa.mir.658,0.012238716459833085
764,ENSG00000147669,0.012131513037456899
2944,hsa.mir.4443,0.011857386465871969
3185,hsa.mir.6895,0.01184850957884919
3118,hsa.mir.6511b.2,0.011695985187852784
599,ENSG00000134853,0.011627776682726108
2839,hsa.mir.3130.2,0.011607018039212562
2427,ENSG00000176533,0.011493298341156333
3198,hsa.mir.877,0.01126410781595041
683,ENSG00000140285,0.010857072393555427
2938,hsa.mir.4326,0.010562362390919589
3151,hsa.mir.6783,0.010538574902166148
874,ENSG00000160867,0.010492380417126697
3172,hsa.mir.6854,0.010489397448327508
3206,hsa.mir.93,0.010431469073155312
2721,hsa.mir.1229,0.010410613424610346
2511,ENSG00000185507,0.010252803196199239
2997,hsa.mir.4742,0.010188669244325866
374,ENSG00000113721,0.01013580492377514
2580,ENSG00000197409,0.010080289290926884
2879,hsa.mir.33b,0.010004553341423162
108,ENSG00000070193,0.010001467908150517
2822,hsa.mir.29c,0.009980701145541388
2954,hsa.mir.449a,0.009843479634655523
3105,hsa.mir.639,0.00959124743945722
3081,hsa.mir.5703,0.009527050001088356
2351,ENSG00000169398,0.009489570573205128
1755,ENSG00000118181,0.00932398695125812
2760,hsa.mir.147b,0.009283394584781491
2315,ENSG00000166501,0.009266483812643856
2765,hsa.mir.152,0.009071715088211932
1276,ENSG00000205220,0.00903800917272747
2878,hsa.mir.33a,0.00895533065442578
3114,hsa.mir.6509,0.008914392288425006
2865,hsa.mir.3200,0.008847550859645708
2797,hsa.mir.20a,0.008727779999608174
3043,hsa.mir.5091,0.008687643250377733
1462,ENSG00000077420,0.008682103936444037
2982,hsa.mir.4668,0.008675616970140253
2932,hsa.mir.411,0.008668639142597386
3014,hsa.mir.4786,0.008597532941748795
2816,hsa.mir.27a,0.008561167285806732
2635,ENSG00000213780,0.008516642682952807
923,ENSG00000163882,0.00847391888659331
2919,hsa.mir.3912,0.008443672302855703
2870,hsa.mir.324,0.008401255284261423
1254,ENSG00000198910,0.00839057331031654
11,ENSG00000005206,0.008361382067273554
2871,hsa.mir.326,0.008260633758327458
2917,hsa.mir.3910.1,0.008252991382032632
2926,hsa.mir.3926.2,0.008166831626440399
1896,ENSG00000132646,0.007992406167904847
3176,hsa.mir.6874,0.007988483157532755
218,ENSG00000099250,0.007938341928092996
2718,hsa.mir.1226,0.00790990302353748
265,ENSG00000103168,0.007889671242373879
2741,hsa.mir.1284,0.007887436155506293
1095,ENSG00000175063,0.007883258284418843
3056,hsa.mir.548j,0.007880584234371782
2744,hsa.mir.1292,0.007778231586271432
862,ENSG00000158406,0.007777026338408178
3209,hsa.mir.937,0.007772760571533581
2706,hsa.mir.103a.1,0.0076469866320258
2897,hsa.mir.3662,0.007641434972756542
2817,hsa.mir.27b,0.007599394720400597
36,ENSG00000012048,0.007597999841818819
2707,hsa.mir.103a.2,0.007558809582388903
213,ENSG00000096433,0.007557901637883333
3100,hsa.mir.624,0.007508078605460469
2823,hsa.mir.301a,0.007472572191254585
2444,ENSG00000178568,0.0074355303207994435
1921,ENSG00000134480,0.007428516485670116
2768,hsa.mir.1537,0.0074193392756569665
1841,ENSG00000127920,0.007367472143978375
2788,hsa.mir.195,0.007287036728803855
2705,hsa.mir.101.2,0.007265092166635441
1794,ENSG00000121807,0.007215349383914145
2784,hsa.mir.191,0.0071486212382956184
2819,hsa.mir.299,0.007145794203770492
2880,hsa.mir.342,0.007102067459491082
2215,ENSG00000161638,0.007095007435127627
29,ENSG00000008988,0.007089619229595882
3036,hsa.mir.503,0.007084059750559391
1496,ENSG00000089009,0.007081113434578583
2963,hsa.mir.4529,0.007078164336271584
2363,ENSG00000170312,0.0070555851097469716
2874,hsa.mir.331,0.00701480466130306
1798,ENSG00000122026,0.006999965312861605
1688,ENSG00000112062,0.006990279532546992
2176,ENSG00000157625,0.006960307509070844
2943,hsa.mir.4442,0.006959339744134922
2704,hsa.mir.101.1,0.006927711428288603
3055,hsa.mir.548e,0.006871237284212839
2255,ENSG00000163468,0.006857887184942228
3194,hsa.mir.7706,0.006851838097500149
2794,hsa.mir.203b,0.006847349082963774
3128,hsa.mir.664a,0.0068323674749262864
3204,hsa.mir.92a.1,0.006827726301489747
419,ENSG00000117399,0.006822473046486266
1403,ENSG00000058600,0.006805502704373793
2800,hsa.mir.210,0.006781970227748389
334,ENSG00000110799,0.006748395439317391
849,ENSG00000156587,0.006715403558737307
2864,hsa.mir.32,0.00667482832854148
2974,hsa.mir.4649,0.006640711371728685
2160,ENSG00000156469,0.006607506722211838
2780,hsa.mir.188,0.00652139065128722
1667,ENSG00000110195,0.006510358491796069
3205,hsa.mir.92a.2,0.0064643463370885005
1822,ENSG00000125347,0.006456984392498271
712,ENSG00000142937,0.006409910692491394
2636,ENSG00000213928,0.006339925072662709
2715,hsa.mir.1181,0.006328051269665593
3156,hsa.mir.6798,0.006323095895495499
2970,hsa.mir.4640,0.006311762772602378
394,ENSG00000115415,0.00629455046786461
3037,hsa.mir.504,0.006280645138613181
2808,hsa.mir.224,0.0062611523094528825
1635,ENSG00000107263,0.00625363819890481
2953,hsa.mir.4492,0.006234322091913782
1216,ENSG00000196584,0.006216475576366065
