,features,importance_vals
1042,ENSG00000170323,0.2752677899505943
984,ENSG00000166819,0.21712743019219488
152,ENSG00000079435,0.1173604846955277
711,ENSG00000142875,0.010245878706264193
1621,ENSG00000105974,0.005129257923235855
1040,ENSG00000170231,0.0012296261256233266
128,ENSG00000074416,9.930563037414686e-05
2157,ENSG00000156299,0.0
2156,ENSG00000156298,0.0
2141,ENSG00000155096,0.0
2142,ENSG00000155097,0.0
2143,ENSG00000155380,0.0
2161,ENSG00000156535,0.0
2144,ENSG00000155465,0.0
2160,ENSG00000156469,0.0
2145,ENSG00000155760,0.0
2159,ENSG00000156427,0.0
2146,ENSG00000155846,0.0
2147,ENSG00000155849,0.0
2148,ENSG00000155975,0.0
2149,ENSG00000155980,0.0
2150,ENSG00000156049,0.0
2140,ENSG00000155011,0.0
2152,ENSG00000156103,0.0
2153,ENSG00000156113,0.0
2154,ENSG00000156234,0.0
2158,ENSG00000156414,0.0
2155,ENSG00000156284,0.0
2151,ENSG00000156052,0.0
0,ENSG00000000938,0.0
2162,ENSG00000156735,0.0
2138,ENSG00000154767,0.0
2117,ENSG00000151640,0.0
2118,ENSG00000151725,0.0
2119,ENSG00000151748,0.0
2120,ENSG00000151929,0.0
2121,ENSG00000152253,0.0
2122,ENSG00000152270,0.0
2123,ENSG00000152642,0.0
2124,ENSG00000152661,0.0
2125,ENSG00000152700,0.0
2126,ENSG00000152894,0.0
2127,ENSG00000153002,0.0
2128,ENSG00000153037,0.0
2129,ENSG00000153201,0.0
2130,ENSG00000153234,0.0
2131,ENSG00000153246,0.0
2132,ENSG00000154080,0.0
2133,ENSG00000154174,0.0
2134,ENSG00000154305,0.0
2135,ENSG00000154589,0.0
2136,ENSG00000154639,0.0
2137,ENSG00000154736,0.0
2139,ENSG00000155008,0.0
2164,ENSG00000156970,0.0
2163,ENSG00000156831,0.0
2115,ENSG00000151617,0.0
2189,ENSG00000158869,0.0
2190,ENSG00000159228,0.0
2191,ENSG00000159403,0.0
2192,ENSG00000159461,0.0
2193,ENSG00000159640,0.0
2194,ENSG00000159763,0.0
2195,ENSG00000160013,0.0
2196,ENSG00000160113,0.0
2197,ENSG00000160191,0.0
2198,ENSG00000160199,0.0
2199,ENSG00000160255,0.0
2200,ENSG00000160285,0.0
2201,ENSG00000160299,0.0
2202,ENSG00000160307,0.0
2203,ENSG00000160323,0.0
2204,ENSG00000160593,0.0
2205,ENSG00000160654,0.0
2206,ENSG00000160679,0.0
2207,ENSG00000160703,0.0
2208,ENSG00000160783,0.0
2209,ENSG00000160791,0.0
2188,ENSG00000158859,0.0
2187,ENSG00000158813,0.0
2186,ENSG00000158571,0.0
