,features,importance_vals
16,age,0.463891158439219
19,race_white,0.08120910035446287
15,Z_16,0.06526182807632722
2,Z_3,0.06327625769976293
3,Z_4,0.05377126505358319
9,Z_10,0.047063300631998574
11,Z_12,0.04529220884025562
5,Z_6,0.03865473490848672
8,Z_9,0.03695286178495735
6,Z_7,0.03587463984877104
0,Z_1,0.03391035574255511
18,grade_h,0.03184603656569379
7,Z_8,0.031550130114192144
10,Z_11,0.03093935145472642
12,Z_13,0.030756821534596385
17,stage_h,0.0294385255407542
13,Z_14,0.02630119749584992
1,Z_2,0.021771650511363986
14,Z_15,0.020772431886871345
4,Z_5,0.009055860785592814
