,features,importance_vals
395,R.HSA.909733,0.03825295068032574
502,R.HSA.168928,0.037001749988412484
257,R.HSA.936440,0.027877137076720827
417,R.HSA.1855204,0.022934474422218045
441,R.HSA.2122948,0.021934117256023455
359,R.HSA.1169408,0.0218582931815763
1360,hsa.mir.6862.2,0.01789878302777652
43,R.HSA.72163,0.017462736583547668
414,R.HSA.418457,0.017228609430021607
127,R.HSA.1482788,0.01692181865830207
454,R.HSA.512988,0.016764213012065737
29,R.HSA.983712,0.016302011721040798
370,R.HSA.5654221,0.015892921184713485
872,hsa.mir.3655,0.015890795232844538
1397,hsa.mir.7156,0.01563333889178466
329,R.HSA.2022870,0.015227474493440241
1348,hsa.mir.6847,0.015164951650658622
129,R.HSA.1482839,0.015110959234880284
134,R.HSA.452723,0.015063710290705785
220,R.HSA.1170546,0.014397603498000535
823,hsa.mir.3200,0.01435783695342252
517,R.HSA.166058,0.014213432556425687
1001,hsa.mir.4660,0.014207181061065057
388,R.HSA.210745,0.014187495397836756
45,R.HSA.375170,0.014146858802996575
57,R.HSA.983695,0.013727413641754537
1413,hsa.mir.7845,0.01359974604787567
233,R.HSA.5610783,0.013443898487312254
1207,hsa.mir.632,0.013358074970892631
153,R.HSA.210500,0.01323933765408583
164,R.HSA.203927,0.01300141533371061
381,R.HSA.5654706,0.012887421048872057
822,hsa.mir.32,0.012859440183165134
227,R.HSA.2644606,0.012738725357448856
275,R.HSA.4641262,0.012737908660783432
1392,hsa.mir.7112,0.012629069910617545
526,R.HSA.5617833,0.01261914518319827
1122,hsa.mir.516a.2,0.012548152792005567
1121,hsa.mir.516a.1,0.012444410372117999
1103,hsa.mir.5088,0.01244348525389796
1135,hsa.mir.519a.2,0.012358838589570952
1358,hsa.mir.6860,0.012357187902507576
532,R.HSA.202430,0.01229226838426257
324,R.HSA.2500257,0.012245307971170405
773,hsa.mir.30d,0.012001581521035405
1134,hsa.mir.519a.1,0.011995819160511019
1137,hsa.mir.520a,0.011896944873988104
1274,hsa.mir.6755,0.011883070843759924
1178,hsa.mir.5703,0.011882723487851764
314,R.HSA.5576892,0.011643393565318547
564,R.HSA.975577,0.011512807254548533
215,R.HSA.983189,0.011277141078535351
1130,hsa.mir.518e,0.011159205930416647
442,R.HSA.2691232,0.011141427246911917
95,R.HSA.114604,0.011136294188945612
631,hsa.mir.1269a,0.011055121880199295
1126,hsa.mir.5187,0.011028623479360249
88,R.HSA.202733,0.011008200366050006
788,hsa.mir.3143,0.011004379843652714
1225,hsa.mir.6514,0.010905783552589128
1108,hsa.mir.5091,0.010867844987799344
991,hsa.mir.4641,0.010737094851210714
170,R.HSA.3214815,0.010734453263066825
636,hsa.mir.1275,0.01068982811186288
312,R.HSA.174800,0.010665020897286014
1393,hsa.mir.7113,0.010653372758533806
456,R.HSA.1482922,0.010652922928452426
403,R.HSA.3247509,0.010604782056470868
413,R.HSA.2871809,0.010560683997027809
1367,hsa.mir.6874,0.01050237681120052
167,R.HSA.392517,0.010490029239517753
440,R.HSA.3295583,0.010462511597797857
755,hsa.mir.27a,0.01035637337670778
906,hsa.mir.3911,0.010339039840764598
1355,hsa.mir.6855,0.010240947616985067
1213,hsa.mir.6499,0.010199035217228812
325,R.HSA.5663220,0.010141027762801968
163,R.HSA.180746,0.010116366863985603
76,R.HSA.5334118,0.010103161717997864
1015,hsa.mir.4691,0.010096883405785774
1272,hsa.mir.6753,0.009922559416736476
110,R.HSA.4420097,0.00979533216363052
420,R.HSA.912694,0.009699690724664834
842,hsa.mir.33a,0.009685659789029159
79,R.HSA.3214847,0.009668628295257805
384,R.HSA.5654719,0.009599112025753129
49,R.HSA.5693568,0.009579805317844147
375,R.HSA.5654695,0.009552911816899722
1116,hsa.mir.513c,0.00954005642211996
368,R.HSA.2033519,0.009498495076377367
1100,hsa.mir.504,0.00944051853082783
1141,hsa.mir.522,0.009410135396465194
1436,hsa.mir.935,0.009391491317364853
869,hsa.mir.3652,0.009380485941655935
262,R.HSA.975956,0.009369504244532437
194,R.HSA.167243,0.00930126874765847
529,R.HSA.446652,0.009250396598363296
855,hsa.mir.3612,0.009188291223690612
308,R.HSA.1368082,0.009177857711620163
613,hsa.mir.1238,0.009121255746103998
284,R.HSA.379716,0.009117530895564415
1311,hsa.mir.6801,0.009102219999476802
982,hsa.mir.4533,0.009058117624663282
918,hsa.mir.3939,0.00904872944811359
592,hsa.mir.103a.1,0.009047058300420758
398,R.HSA.983170,0.008980811583460308
476,R.HSA.69481,0.008970919059429434
579,R.HSA.5358751,0.008943541103653842
468,R.HSA.450408,0.008908224270853679
565,R.HSA.191273,0.008900728589505889
162,R.HSA.1655829,0.008839117104071193
804,hsa.mir.3177,0.008830199798103422
1273,hsa.mir.6754,0.008803268243500497
1199,hsa.mir.6132,0.00878578273099265
779,hsa.mir.3127,0.008781942556743161
411,R.HSA.139853,0.008751220109679707
64,R.HSA.5654727,0.00874844679638045
1433,hsa.mir.93,0.008720961855724454
593,hsa.mir.103a.2,0.008689637384304661
490,R.HSA.5656169,0.008642091960500692
112,R.HSA.75892,0.008636481016146717
663,hsa.mir.136,0.008615264238978853
1423,hsa.mir.877,0.008581710736834794
238,R.HSA.933542,0.008543858864723006
1249,hsa.mir.6728,0.008517540932953125
218,R.HSA.380972,0.008517539251952257
894,hsa.mir.376c,0.008466641582945158
1321,hsa.mir.6812,0.008383893188802177
524,R.HSA.389957,0.008362849163640931
640,hsa.mir.1284,0.008354165582859422
332,R.HSA.4420332,0.008353966527065495
175,R.HSA.73777,0.008314492502177018
514,R.HSA.3000170,0.008310279563447693
1065,hsa.mir.4785,0.008292577581232762
518,R.HSA.1538133,0.008274638180446346
94,R.HSA.456926,0.008260454648043378
1202,hsa.mir.618,0.008224633638455998
116,R.HSA.392170,0.008194147093163337
1009,hsa.mir.4676,0.008181859851756599
1256,hsa.mir.6735,0.008161516870604828
1390,hsa.mir.7109,0.00811685253836913
1042,hsa.mir.4742,0.008109489312264486
568,R.HSA.5576886,0.008060732985468349
634,hsa.mir.1270,0.00799865073277033
1404,hsa.mir.7641.2,0.007984485981760372
101,R.HSA.2730905,0.0079843959173013
15,R.HSA.5173214,0.007974546867772006
203,R.HSA.72203,0.007959709839269635
188,R.HSA.167161,0.007923775614981423
424,R.HSA.3000157,0.007922310123685748
1155,hsa.mir.548o,0.00790016344501055
1066,hsa.mir.4786,0.007899072757600151
637,hsa.mir.1276,0.00785947462747572
427,R.HSA.5620922,0.007836649644887075
1324,hsa.mir.6815,0.007817729374182817
273,R.HSA.373080,0.007810567764099687
202,R.HSA.72165,0.007778903546131914
781,hsa.mir.3130.1,0.00776373782864539
351,R.HSA.196757,0.007743126495333854
1045,hsa.mir.4746,0.007714170378276322
701,hsa.mir.190a,0.007609572316359845
1071,hsa.mir.4800,0.007570149450148164
334,R.HSA.140837,0.007562233760399977
41,R.HSA.109688,0.007556062517687678
123,R.HSA.114608,0.007549238040664932
435,R.HSA.2426168,0.007546767154562986
60,R.HSA.1236382,0.00751469872360758
1129,hsa.mir.518c,0.007509469132637605
655,hsa.mir.1323,0.007509298992808908
718,hsa.mir.199b,0.0075012079449447815
896,hsa.mir.378a,0.007493529874382148
1372,hsa.mir.6880,0.007485170778454631
429,R.HSA.75109,0.007482756368699483
327,R.HSA.1483191,0.007471001401136164
1143,hsa.mir.526b,0.007453955435776152
249,R.HSA.4085001,0.007420458001506631
590,hsa.let.7i,0.007384937011056536
1189,hsa.mir.588,0.007380624392535538
525,R.HSA.389960,0.0073503567861916965
1234,hsa.mir.662,0.007309298810905602
192,R.HSA.167238,0.007292215622364893
541,R.HSA.392851,0.00728407073620474
1123,hsa.mir.517a,0.007279660000658623
979,hsa.mir.4525,0.007272912340267794
136,R.HSA.4419969,0.007257966245815623
746,hsa.mir.2355,0.0072560879803495485
1124,hsa.mir.517b,0.007242878068391292
1029,hsa.mir.4724,0.007232946870549313
261,R.HSA.913709,0.007232752746785991
731,hsa.mir.2110,0.007227918659336865
548,R.HSA.354192,0.007162453700439073
561,R.HSA.5223345,0.007150775083864573
1319,hsa.mir.6809,0.007150606403592974
510,R.HSA.936964,0.007149072030442767
