,features,importance_vals
5146,ENSG00000278828,0.02410045744822128
4913,ENSG00000197409,0.021672584308471413
1649,ENSG00000158406,0.020784279703511856
5340,hsa.mir.31,0.020285506254731446
2577,ENSG00000274750,0.01989156755618751
4895,ENSG00000196866,0.017789333916734904
2190,ENSG00000180596,0.01758066271606367
2584,ENSG00000276180,0.01726191154855769
5138,ENSG00000276966,0.01662282887060428
2587,ENSG00000277075,0.01637190656736493
2575,ENSG00000273983,0.016238622310920617
5143,ENSG00000278463,0.015134523743763567
4903,ENSG00000197061,0.013728411592746853
866,ENSG00000118004,0.013699558054941007
4762,ENSG00000184260,0.013603891527163797
4775,ENSG00000184678,0.01319445169705432
5130,ENSG00000274641,0.013105873402964789
2591,ENSG00000278705,0.013013251335069071
5124,ENSG00000273703,0.012837270297895885
2589,ENSG00000277775,0.012606251613542554
2588,ENSG00000277224,0.012237919104009051
5286,hsa.mir.202,0.012199992663809098
5958,hsa.mir.7112,0.011948259087221231
2574,ENSG00000273802,0.011716557881154586
5566,hsa.mir.4658,0.011567552236374467
2242,ENSG00000183598,0.011493443948493222
2576,ENSG00000274618,0.011457512094457343
2585,ENSG00000276368,0.011409054148934956
5134,ENSG00000275714,0.011390008635644336
552,ENSG00000104833,0.011349231710337335
4192,ENSG00000158373,0.011251171913754661
5139,ENSG00000277157,0.011121057972632116
2492,ENSG00000214357,0.011052018586269696
2540,ENSG00000246705,0.010893392234138446
4647,ENSG00000176485,0.010580006870077341
703,ENSG00000111684,0.0104041758319363
5464,hsa.mir.378d.1,0.010290390030713753
2270,ENSG00000185130,0.0101881136756856
6007,hsa.mir.95,0.010155649134467239
5144,ENSG00000278588,0.010153175353480037
5380,hsa.mir.3193,0.010085600888414774
983,ENSG00000124635,0.010048535085079493
233,ENSG00000072401,0.00995823076525994
5123,ENSG00000273542,0.009840943760500521
749,ENSG00000113578,0.009418593389746092
5422,hsa.mir.3613,0.009351056328159756
2515,ENSG00000233822,0.009265360585268355
5362,hsa.mir.3158.1,0.009049908361575945
5959,hsa.mir.7113,0.009011573903262616
2578,ENSG00000275379,0.00898178910385468
3310,ENSG00000114450,0.008935414327715989
4931,ENSG00000197837,0.008900764887221158
4932,ENSG00000197903,0.008816793430960389
3709,ENSG00000134480,0.008800189154972032
5133,ENSG00000275713,0.008787082427515998
492,ENSG00000101384,0.008745328825189063
44,ENSG00000010810,0.008661710237356601
5281,hsa.mir.196b,0.008595720057128347
5322,hsa.mir.27b,0.008546149820031133
3810,ENSG00000137845,0.008388277275116707
1540,ENSG00000150991,0.008361645267341374
5415,hsa.mir.34c,0.008353108430819703
5178,hsa.mir.1237,0.008252037225902313
526,ENSG00000103126,0.008154626846226165
849,ENSG00000117215,0.00812917133254814
5631,hsa.mir.4785,0.008117148290912155
1316,ENSG00000138685,0.008092843350168551
748,ENSG00000113575,0.008051472136685334
5386,hsa.mir.3199.1,0.008046966841211542
5754,hsa.mir.585,0.008035728513414142
5979,hsa.mir.7845,0.008010710211474361
