,features,importance_vals
3834,ENSG00000138646,0.10704626169987023
793,ENSG00000115267,0.06536405769875273
3188,ENSG00000108771,0.0615223785454873
3885,ENSG00000140853,0.050164812442380934
2321,ENSG00000187608,0.04358437287271954
3959,ENSG00000143947,0.03147309822186799
1621,ENSG00000156587,0.028989740892429835
2198,ENSG00000181481,0.02124628754128935
1984,ENSG00000170315,0.017664210633956828
614,ENSG00000107201,0.012799025870626791
5039,ENSG00000221983,0.012164277118281462
355,ENSG00000088888,0.008877497738430974
4236,ENSG00000160703,0.0051041215172881495
4056,ENSG00000149476,0.004874385747825727
1540,ENSG00000150991,0.0016638096887072607
4001,ENSG00000146072,0.0
4000,ENSG00000146070,0.0
4014,ENSG00000147400,0.0
4013,ENSG00000147383,0.0
4012,ENSG00000147316,0.0
4011,ENSG00000147257,0.0
4005,ENSG00000147010,0.0
4006,ENSG00000147133,0.0
4010,ENSG00000147251,0.0
4009,ENSG00000147202,0.0
4002,ENSG00000146143,0.0
4003,ENSG00000146426,0.0
4004,ENSG00000146457,0.0
4007,ENSG00000147162,0.0
4008,ENSG00000147168,0.0
0,ENSG00000000938,0.0
4015,ENSG00000147408,0.0
4016,ENSG00000147443,0.0
4035,ENSG00000148396,0.0
4034,ENSG00000148346,0.0
4033,ENSG00000148334,0.0
4032,ENSG00000148308,0.0
4031,ENSG00000148303,0.0
4030,ENSG00000148297,0.0
4029,ENSG00000148229,0.0
4028,ENSG00000148180,0.0
4027,ENSG00000148090,0.0
4026,ENSG00000148082,0.0
4025,ENSG00000148019,0.0
4024,ENSG00000147889,0.0
4023,ENSG00000147883,0.0
4022,ENSG00000147874,0.0
4021,ENSG00000147872,0.0
4020,ENSG00000147853,0.0
4019,ENSG00000147650,0.0
3999,ENSG00000145740,0.0
4017,ENSG00000147457,0.0
4018,ENSG00000147604,0.0
3996,ENSG00000145703,0.0
3998,ENSG00000145734,0.0
3964,ENSG00000144229,0.0
3973,ENSG00000144730,0.0
3972,ENSG00000144668,0.0
3971,ENSG00000144566,0.0
3970,ENSG00000144554,0.0
3969,ENSG00000144476,0.0
3968,ENSG00000144455,0.0
3967,ENSG00000144381,0.0
3966,ENSG00000144278,0.0
3965,ENSG00000144231,0.0
3963,ENSG00000144057,0.0
3997,ENSG00000145715,0.0
3962,ENSG00000144034,0.0
3961,ENSG00000143995,0.0
3960,ENSG00000143977,0.0
3958,ENSG00000143919,0.0
3957,ENSG00000143882,0.0
3956,ENSG00000143878,0.0
3955,ENSG00000143870,0.0
3954,ENSG00000143847,0.0
3953,ENSG00000143816,0.0
3974,ENSG00000144744,0.0
3975,ENSG00000144810,0.0
3976,ENSG00000144827,0.0
3977,ENSG00000144848,0.0
4037,ENSG00000148488,0.0
3995,ENSG00000145685,0.0
3994,ENSG00000145675,0.0
3993,ENSG00000145604,0.0
3992,ENSG00000145555,0.0
3991,ENSG00000145476,0.0
3990,ENSG00000145431,0.0
3989,ENSG00000145425,0.0
3988,ENSG00000145388,0.0
3987,ENSG00000145362,0.0
3986,ENSG00000145335,0.0
3985,ENSG00000145331,0.0
3984,ENSG00000145284,0.0
3983,ENSG00000145241,0.0
3982,ENSG00000145147,0.0
3981,ENSG00000145113,0.0
3980,ENSG00000144935,0.0
3979,ENSG00000144908,0.0
3978,ENSG00000144857,0.0
4036,ENSG00000148400,0.0
4041,ENSG00000148834,0.0
4038,ENSG00000148660,0.0
4098,ENSG00000152464,0.0
4107,ENSG00000153113,0.0
4106,ENSG00000153037,0.0
4105,ENSG00000152952,0.0
4104,ENSG00000152894,0.0
4103,ENSG00000152700,0.0
4102,ENSG00000152689,0.0
4101,ENSG00000152661,0.0
4100,ENSG00000152642,0.0
4099,ENSG00000152520,0.0
4097,ENSG00000152422,0.0
4086,ENSG00000151617,0.0
4096,ENSG00000152315,0.0
4095,ENSG00000152253,0.0
4094,ENSG00000152240,0.0
4093,ENSG00000151929,0.0
4092,ENSG00000151876,0.0
4091,ENSG00000151725,0.0
4090,ENSG00000151694,0.0
4089,ENSG00000151665,0.0
4088,ENSG00000151640,0.0
4108,ENSG00000153187,0.0
4109,ENSG00000153201,0.0
4110,ENSG00000153208,0.0
