ID,Gene Name,Species,REACTOME_PATHWAY
ENSG00000135114,2'-5'-oligoadenylate synthetase like(OASL),Homo sapiens,"R-HSA-877300:R-HSA-877300,R-HSA-909733:R-HSA-909733,"
ENSG00000162813,"3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)",Homo sapiens,"R-HSA-156584:R-HSA-156584,"
ENSG00000158578,5'-aminolevulinate synthase 2(ALAS2),Homo sapiens,"R-HSA-189451:R-HSA-189451,"
ENSG00000178814,5-oxoprolinase (ATP-hydrolysing)(OPLAH),Homo sapiens,"R-HSA-174403:R-HSA-174403,R-HSA-5578998:R-HSA-5578998,"
ENSG00000172893,7-dehydrocholesterol reductase(DHCR7),Homo sapiens,"R-HSA-2426168:R-HSA-2426168,R-HSA-6807047:R-HSA-6807047,R-HSA-6807062:R-HSA-6807062,"
ENSG00000179841,A-kinase anchoring protein 5(AKAP5),Homo sapiens,"R-HSA-381676:R-HSA-381676,R-HSA-399719:R-HSA-399719,"
ENSG00000134007,ADAM metallopeptidase domain 20(ADAM20),Homo sapiens,"R-HSA-1300644:R-HSA-1300644,"
ENSG00000008277,ADAM metallopeptidase domain 22(ADAM22),Homo sapiens,"R-HSA-5682910:R-HSA-5682910,"
ENSG00000078549,ADCYAP receptor type I(ADCYAP1R1),Homo sapiens,"R-HSA-187024:R-HSA-187024,R-HSA-418555:R-HSA-418555,R-HSA-420092:R-HSA-420092,"
ENSG00000168374,ADP ribosylation factor 4(ARF4),Homo sapiens,"R-HSA-5620916:R-HSA-5620916,R-HSA-6807878:R-HSA-6807878,"
ENSG00000124198,ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2),Homo sapiens,"R-HSA-390471:R-HSA-390471,"
ENSG00000138175,ADP ribosylation factor like GTPase 3(ARL3),Homo sapiens,"R-HSA-5624138:R-HSA-5624138,"
ENSG00000105221,AKT serine/threonine kinase 2(AKT2),Homo sapiens,"R-HSA-111447:R-HSA-111447,R-HSA-114604:R-HSA-114604,R-HSA-1257604:R-HSA-1257604,R-HSA-1358803:R-HSA-1358803,R-HSA-1445148:R-HSA-1445148,R-HSA-165158:R-HSA-165158,R-HSA-165160:R-HSA-165160,R-HSA-165181:R-HSA-165181,R-HSA-198323:R-HSA-198323,R-HSA-198693:R-HSA-198693,R-HSA-199418:R-HSA-199418,R-HSA-211163:R-HSA-211163,R-HSA-3769402:R-HSA-3769402,R-HSA-389357:R-HSA-389357,R-HSA-389513:R-HSA-389513,R-HSA-392451:R-HSA-392451,R-HSA-5218920:R-HSA-5218920,R-HSA-5628897:R-HSA-5628897,R-HSA-5674400:R-HSA-5674400,"
ENSG00000101901,"ALG13, UDP-N-acetylglucosaminyltransferase subunit(ALG13)",Homo sapiens,"R-HSA-446193:R-HSA-446193,R-HSA-5633231:R-HSA-5633231,"
ENSG00000115073,"ARP1 actin-related protein 1 homolog B, centractin beta(ACTR1B)",Homo sapiens,"R-HSA-2132295:R-HSA-2132295,"
ENSG00000153207,AT-hook containing transcription factor 1(AHCTF1),Homo sapiens,"R-HSA-2467813:R-HSA-2467813,R-HSA-2500257:R-HSA-2500257,R-HSA-5663220:R-HSA-5663220,R-HSA-68877:R-HSA-68877,"
ENSG00000032219,AT-rich interaction domain 4A(ARID4A),Homo sapiens,"R-HSA-3214815:R-HSA-3214815,"
ENSG00000154263,ATP binding cassette subfamily A member 10(ABCA10),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,"
ENSG00000154265,ATP binding cassette subfamily A member 5(ABCA5),Homo sapiens,"R-HSA-1369062:R-HSA-1369062,"
ENSG00000131473,ATP citrate lyase(ACLY),Homo sapiens,"R-HSA-163765:R-HSA-163765,R-HSA-75105:R-HSA-75105,"
ENSG00000241837,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit(ATP5O)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
ENSG00000152234,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle(ATP5A1)",Homo sapiens,"R-HSA-1268020:R-HSA-1268020,R-HSA-163210:R-HSA-163210,"
ENSG00000154723,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6(ATP5J)",Homo sapiens,"R-HSA-163210:R-HSA-163210,"
